"filename", "language", "JavaScript", "JSON", "CSS", "Markdown", "Django HTML", "Django txt", "comment", "blank", "total"
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 33, 71
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/package-lock.json", "JSON", 0, 39717, 0, 0, 0, 0, 0, 1, 39718
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/package.json", "JSON", 0, 58, 0, 0, 0, 0, 0, 1, 59
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/public/index.html", "Django HTML", 0, 0, 0, 0, 40, 0, 0, 4, 44
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/public/manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 1, 26
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/public/robots.txt", "Django txt", 0, 0, 0, 0, 0, 3, 0, 1, 4
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/src/App.css", "CSS", 0, 0, 20, 0, 0, 0, 0, 5, 25
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/src/App.js", "JavaScript", 51, 0, 0, 0, 0, 0, 1, 3, 55
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/src/SetupProxy.js", "JavaScript", 9, 0, 0, 0, 0, 0, 1, 1, 11
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/src/actions/auth.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 8, 30
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/src/api/index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/src/components/Auth/Forgot.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 11, 75
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/src/components/Auth/Login.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 13, 87
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/src/components/Auth/Reset.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 10, 79
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/src/components/Auth/Signup.js", "JavaScript", 129, 0, 0, 0, 0, 0, 30, 17, 176
